iter	Logloss
0	0.6596003114
1	0.629198274
2	0.6048104687
3	0.5834798856
4	0.5634978646
5	0.5462642317
6	0.5274761472
7	0.5112722857
8	0.4978173217
9	0.4844671548
10	0.4700538276
11	0.4601587692
12	0.4502289328
13	0.4414440381
14	0.4320586556
15	0.424632974
16	0.4181136969
17	0.4112251525
18	0.405801637
19	0.3999220713
20	0.3951025168
21	0.3907562395
22	0.3863495521
23	0.3820951748
24	0.3778805074
25	0.3741341621
26	0.3699452656
27	0.3658657508
28	0.3618968912
29	0.3584414585
30	0.3558875447
31	0.3536859029
32	0.3514632831
33	0.3488101988
34	0.3452947266
35	0.3433948569
36	0.3410243959
37	0.3386224449
38	0.3366523245
39	0.3350067139
40	0.3333004154
41	0.3319480329
42	0.3305709908
43	0.3289978768
44	0.3278590016
45	0.3264775139
46	0.3245578239
47	0.3230447031
48	0.3214939332
49	0.3198953724
50	0.3187895617
51	0.3177998243
52	0.3167670428
53	0.3156274961
54	0.3148962087
55	0.3138378184
56	0.312476915
57	0.3113275276
58	0.3098280216
59	0.3087958884
60	0.3081420528
61	0.307353875
62	0.3064301973
63	0.3056682535
64	0.3050553549
65	0.3045011761
66	0.3035497593
67	0.302773205
68	0.3022563743
69	0.3015335847
70	0.3008096837
71	0.3002916258
72	0.2996514513
73	0.2989714511
74	0.2983865695
75	0.2979317695
76	0.2973414697
77	0.2969050545
78	0.2958641689
79	0.2951686321
80	0.2942025122
81	0.2936119809
82	0.2931408339
83	0.2927600125
84	0.2922232227
85	0.2917378589
86	0.2911319067
87	0.2906447832
88	0.2901488146
89	0.2896681049
90	0.2893568395
91	0.28902367
92	0.2887233566
93	0.288401718
94	0.2880577817
95	0.2876290537
96	0.2874296475
97	0.286900105
98	0.286549477
99	0.2861561522
100	0.2857161017
101	0.2850194303
102	0.284649862
103	0.2842597093
104	0.2837023352
105	0.2833175543
106	0.2830210152
107	0.2827385539
108	0.2824542635
109	0.2822038711
110	0.2819187934
111	0.2814231491
112	0.2811456197
113	0.280534203
114	0.2802160376
115	0.2798260933
116	0.2796204123
117	0.2793639535
118	0.2791770275
119	0.2789719716
120	0.2786356531
121	0.2784492828
122	0.2781415832
123	0.2778865832
124	0.2776274848
125	0.2772888739
126	0.2767504864
127	0.2765486258
128	0.2763516277
129	0.2761486557
130	0.2758650136
131	0.2756562067
132	0.2754355678
133	0.2751384498
134	0.274716043
135	0.2745467607
136	0.2742837029
137	0.2740140229
138	0.273780186
139	0.2735315534
140	0.2731536263
141	0.2728113803
142	0.2726709948
143	0.2725431358
144	0.2723365054
145	0.2721488617
146	0.2719474642
147	0.2716504156
148	0.2713549416
149	0.2711857519
150	0.2710419627
151	0.2709944498
152	0.2708240098
153	0.2706891814
154	0.2704284622
155	0.2702839089
156	0.2699253389
157	0.2697046306
158	0.2695732985
159	0.269424369
160	0.2691599914
161	0.2689058943
162	0.2686684917
163	0.2685225028
164	0.2683538457
165	0.2681716664
166	0.2679955073
167	0.2678006394
168	0.2674938428
169	0.2673567221
170	0.2671895932
171	0.2670426087
172	0.2668748083
173	0.266705225
174	0.2665105423
175	0.266334499
176	0.2661045752
177	0.2659261238
178	0.2658173904
179	0.2657140521
180	0.2655959875
181	0.265452453
182	0.2652959057
183	0.2651159955
184	0.2649421287
185	0.2647506644
186	0.2645343323
187	0.2644317118
188	0.2643153374
189	0.2640449165
190	0.2639134455
191	0.2637703741
192	0.2636738894
193	0.2634374129
194	0.2633087668
195	0.2632230026
196	0.2630237122
197	0.2628999516
198	0.2627729726
199	0.2626864443
200	0.2625484206
201	0.2624455685
202	0.2623084478
203	0.2621327286
204	0.2620216103
205	0.2619046803
206	0.2617359306
207	0.2614426099
208	0.2612810844
209	0.2611064998
210	0.2610003134
211	0.2608635863
212	0.2606630456
213	0.2604416426
214	0.2603878548
215	0.2603158213
216	0.2602495995
217	0.2600934922
218	0.2600347724
219	0.2598678288
220	0.2596582346
221	0.2595306072
222	0.2594220128
223	0.2593211057
224	0.2591148226
225	0.259000208
226	0.2588597299
