iter	Passed	Remaining
0	8	3993
1	17	4255
2	25	4257
3	33	4187
4	38	3792
5	52	4299
6	65	4617
7	69	4294
8	76	4146
9	82	4064
10	89	3985
11	97	3954
12	101	3810
13	107	3748
14	113	3682
15	121	3667
16	128	3659
17	138	3710
18	144	3663
19	149	3581
20	156	3577
21	161	3517
22	169	3509
23	174	3469
24	178	3396
25	186	3394
26	193	3390
27	197	3327
28	207	3368
29	211	3307
30	220	3328
31	225	3304
32	229	3247
33	241	3305
34	245	3256
35	254	3280
36	258	3235
37	272	3309
38	277	3275
39	290	3341
40	295	3312
41	303	3305
42	306	3260
43	311	3223
44	316	3199
45	320	3161
46	324	3130
47	328	3096
48	335	3087
49	345	3111
50	366	3230
51	371	3201
52	385	3251
53	394	3260
54	403	3263
55	409	3250
56	421	3273
57	431	3290
58	435	3256
59	443	3248
60	448	3224
61	454	3211
62	463	3214
63	476	3243
64	482	3230
65	505	3327
66	520	3364
67	525	3340
68	531	3318
69	538	3310
70	543	3285
71	550	3270
72	557	3259
73	562	3239
74	572	3245
75	579	3233
76	591	3251
77	601	3255
78	607	3239
79	621	3260
80	626	3238
81	637	3249
82	643	3232
83	648	3212
84	655	3202
85	662	3188
86	672	3192
87	677	3173
88	706	3264
89	716	3265
90	721	3242
91	726	3223
92	733	3208
93	738	3191
94	743	3168
95	752	3168
96	758	3149
97	762	3126
98	766	3105
99	770	3083
100	776	3066
101	781	3050
102	786	3030
103	790	3009
104	795	2993
105	799	2972
106	803	2952
107	808	2932
108	813	2916
109	818	2901
110	822	2882
111	826	2864
112	830	2844
113	834	2825
114	838	2806
115	842	2788
116	846	2770
117	849	2751
118	853	2733
119	857	2715
120	862	2700
121	865	2681
122	869	2664
123	873	2647
124	877	2631
125	880	2614
126	884	2598
127	888	2581
128	892	2567
129	896	2552
130	900	2537
131	904	2522
132	910	2511
133	914	2497
134	920	2488
135	925	2475
136	930	2464
137	934	2450
138	939	2438
139	942	2424
140	946	2410
141	951	2398
142	956	2388
143	960	2375
144	965	2363
145	968	2349
146	972	2336
147	977	2323
148	981	2312
149	987	2304
150	992	2292
151	996	2282
152	1000	2269
153	1004	2257
154	1008	2245
155	1012	2233
156	1017	2222
157	1022	2212
158	1026	2201
159	1030	2188
160	1034	2178
161	1039	2168
162	1043	2157
163	1048	2147
164	1054	2141
165	1058	2130
166	1062	2119
167	1066	2108
168	1072	2100
169	1076	2090
170	1080	2078
171	1086	2072
172	1091	2062
173	1095	2052
174	1100	2043
175	1104	2032
176	1108	2022
177	1112	2012
178	1117	2004
179	1122	1995
180	1126	1985
181	1130	1975
182	1134	1965
183	1138	1955
184	1143	1946
185	1147	1937
186	1152	1929
187	1156	1919
188	1160	1909
189	1164	1900
190	1176	1902
191	1182	1897
