iter	Logloss
0	0.6664314606
1	0.6451512359
2	0.6292445807
3	0.6127182088
4	0.5992663617
5	0.5882822403
6	0.575330085
7	0.5622312085
8	0.551709641
9	0.5402219527
10	0.5256816992
11	0.5166754075
12	0.5089630181
13	0.5022444683
14	0.4957836225
15	0.4891800384
16	0.4801052302
17	0.4736922868
18	0.4656913529
19	0.4598502238
20	0.4547782239
21	0.4508179357
22	0.4462545082
23	0.4419180249
24	0.4373442635
25	0.4329455071
26	0.4298412989
27	0.4262573673
28	0.4233590047
29	0.4210418217
30	0.4167804752
31	0.4144800042
32	0.4118326177
33	0.4095638753
34	0.4055050374
35	0.4030847297
36	0.4010126561
37	0.3981856358
38	0.3948986989
39	0.3930898999
40	0.391255266
41	0.3879366543
42	0.386230711
43	0.3847236431
44	0.3823413613
45	0.3810317159
46	0.3795512366
47	0.3786465007
48	0.3773837619
49	0.3762673676
50	0.3750347696
51	0.3739044889
52	0.3718691495
53	0.3705925513
54	0.3685367322
55	0.366967472
56	0.3655662738
57	0.3648033075
58	0.3634634405
59	0.3623811429
60	0.3615493102
61	0.359733299
62	0.3587424734
63	0.358146654
64	0.3575527184
65	0.3568520521
66	0.3559420416
67	0.3543389537
68	0.3537160345
69	0.3528055934
70	0.3519395293
71	0.3510579104
72	0.3504451906
73	0.3496239072
74	0.3490911144
75	0.3482617575
76	0.3477596707
77	0.3474019907
78	0.3468793973
79	0.3463700982
80	0.3458333226
81	0.3452320671
82	0.3445521225
83	0.3437249993
84	0.3432577628
85	0.3423297754
86	0.3418221179
87	0.3411286638
88	0.34057157
89	0.3396432059
90	0.3389545151
91	0.3383702946
92	0.3378030552
93	0.3372987347
94	0.3368514665
95	0.3362673267
96	0.3357988522
97	0.3353306738
98	0.3349022975
99	0.3345407153
100	0.3336588542
101	0.3329031808
102	0.3322363152
103	0.3318368148
104	0.3314595433
105	0.3307165183
106	0.3303747429
107	0.3300785825
108	0.3296978125
109	0.3292090737
110	0.3282537982
111	0.327933552
112	0.3277167534
113	0.3274595069
114	0.3270107585
115	0.3264852319
116	0.3262131033
117	0.3259601088
118	0.3254616282
119	0.3251505857
120	0.3246910189
121	0.3243862199
122	0.323945249
123	0.3237080246
124	0.3233431054
125	0.3230650295
126	0.3227926318
127	0.3225077204
128	0.3222221899
129	0.3218701075
130	0.3214759894
131	0.3212754453
132	0.3206815366
133	0.3202047197
134	0.3197857354
135	0.3192809305
136	0.3190529367
137	0.3187461732
138	0.318415889
139	0.3177070685
140	0.3175387374
141	0.3173074066
142	0.3168950157
143	0.316324816
144	0.315776576
145	0.3156080566
146	0.315401592
147	0.3150304293
148	0.3148338412
149	0.3145502215
150	0.3142863817
151	0.3139860769
152	0.3137141906
153	0.3132755071
154	0.3130051816
155	0.312379652
156	0.3121305328
157	0.3119219422
158	0.3117562753
159	0.3115917926
160	0.3112127718
161	0.3111757416
162	0.3108934137
163	0.3106334222
164	0.3101327617
165	0.3097557324
166	0.3095417864
167	0.3093051271
168	0.3090836459
169	0.308848117
170	0.3085398195
171	0.3083430161
172	0.3081387313
173	0.307861974
174	0.3075142781
175	0.3072656702
176	0.3071027483
177	0.3068958531
178	0.3067021177
179	0.3064928812
180	0.3062414745
181	0.3059089297
182	0.3056758766
