iter	Passed	Remaining
0	9	4762
1	18	4712
2	28	4680
3	36	4516
4	43	4336
5	49	4062
6	53	3770
7	57	3532
8	61	3342
9	64	3165
10	67	3016
11	71	2917
12	75	2818
13	78	2726
14	81	2646
15	85	2584
16	88	2526
17	92	2468
18	95	2418
19	98	2372
20	102	2327
21	105	2288
22	108	2251
23	111	2218
24	115	2189
25	118	2164
26	122	2138
27	125	2114
28	128	2090
29	132	2070
30	135	2055
31	139	2034
32	142	2013
33	145	1994
34	148	1977
35	152	1965
36	155	1950
37	159	1933
38	162	1918
39	165	1906
40	169	1898
41	173	1887
42	176	1874
43	179	1863
44	183	1854
45	186	1844
46	190	1832
47	193	1820
48	196	1809
49	200	1800
50	203	1790
51	206	1780
52	209	1769
53	212	1758
54	216	1749
55	219	1741
56	223	1733
57	226	1724
58	229	1717
59	233	1709
60	238	1713
61	243	1721
62	247	1716
63	252	1723
64	257	1721
65	261	1717
66	264	1709
67	268	1707
68	272	1700
69	275	1693
70	279	1688
71	283	1684
72	286	1675
73	289	1669
74	293	1664
75	297	1662
76	306	1684
77	311	1685
78	316	1685
79	319	1678
80	324	1678
81	329	1678
82	333	1676
83	337	1671
84	341	1668
85	346	1667
86	350	1664
87	354	1658
88	357	1652
89	361	1645
90	365	1641
91	369	1638
92	373	1635
93	377	1631
94	381	1626
95	385	1621
96	389	1620
97	394	1616
98	398	1615
99	402	1609
100	405	1603
101	410	1601
102	414	1596
103	418	1594
104	423	1591
105	429	1594
106	434	1594
107	438	1590
108	442	1586
109	445	1579
110	448	1572
111	452	1566
112	455	1560
113	458	1553
114	461	1546
115	465	1539
116	468	1534
117	471	1527
118	475	1521
119	478	1514
120	481	1508
121	485	1504
122	488	1498
123	492	1492
124	495	1486
125	499	1481
126	502	1475
127	505	1470
128	509	1465
129	513	1461
130	519	1462
131	524	1461
132	529	1461
133	534	1460
134	538	1455
135	541	1449
136	544	1443
137	548	1437
138	551	1431
139	554	1425
140	558	1421
141	562	1418
142	565	1412
143	569	1408
144	574	1406
145	578	1401
146	581	1396
147	584	1390
148	588	1385
149	591	1380
150	595	1376
151	598	1371
152	602	1366
153	605	1360
154	609	1355
155	612	1351
156	616	1346
157	619	1341
158	623	1336
159	626	1331
160	629	1326
161	633	1322
162	637	1317
163	640	1312
164	643	1307
165	647	1302
166	650	1298
167	654	1292
168	657	1287
169	660	1282
170	664	1277
171	667	1272
172	670	1267
173	673	1262
174	677	1257
175	680	1252
176	683	1247
177	687	1242
178	690	1237
179	693	1232
180	697	1228
181	700	1224
182	703	1219
183	706	1214
184	710	1210
185	714	1205
186	717	1201
187	721	1196
188	724	1191
189	728	1188
190	731	1183
191	735	1179
192	738	1175
193	742	1171
194	746	1166
195	749	1162
196	752	1157
197	755	1152
198	759	1148
199	762	1143
200	765	1139
201	769	1134
202	772	1130
203	776	1126
204	779	1121
205	782	1116
206	785	1112
207	789	1107
208	792	1103
209	795	1098
210	799	1094
211	804	1092
212	807	1088
213	811	1084
214	814	1080
215	818	1076
216	822	1072
217	825	1067
218	828	1062
219	831	1058
220	835	1054
221	838	1050
222	842	1046
223	845	1041
224	849	1037
225	852	1033
226	855	1028
227	859	1025
228	862	1021
229	866	1016
230	869	1012
231	872	1008
232	876	1004
233	881	1002
234	885	998
235	888	994
236	892	990
237	895	985
238	898	981
239	902	977
240	905	973
241	909	969
242	912	965
243	915	961
244	919	956
245	922	952
246	926	948
247	929	944
248	932	940
249	935	935
250	939	931
251	942	927
252	945	923
253	949	919
254	952	915
255	956	911
256	959	907
257	962	902
258	965	898
259	969	894
260	972	890
261	976	886
262	979	882
263	982	878
264	985	873
265	988	869
266	992	865
267	995	861
268	998	857
269	1001	853
270	1005	849
271	1008	845
272	1012	841
273	1015	837
274	1018	833
275	1022	829
276	1025	825
277	1029	821
278	1032	817
279	1035	813
280	1039	810
281	1042	806
282	1045	801
283	1049	798
284	1052	793
285	1055	789
286	1058	785
287	1062	781
288	1065	777
289	1069	774
290	1073	770
291	1076	766
292	1079	762
293	1083	758
294	1086	754
295	1089	750
296	1092	746
297	1096	743
298	1099	739
299	1103	735
300	1106	731
301	1110	727
302	1113	724
303	1117	720
304	1120	716
305	1123	712
306	1127	708
307	1130	704
308	1133	700
309	1136	696
310	1140	692
311	1143	688
312	1146	685
313	1149	681
314	1153	677
315	1156	673
316	1159	669
317	1163	665
318	1166	661
319	1169	657
320	1172	653
321	1175	649
322	1179	646
323	1183	642
324	1187	639
325	1191	635
326	1194	631
327	1197	628
328	1201	624
329	1204	620
330	1208	616
331	1211	612
332	1215	609
333	1218	605
334	1222	601
335	1225	598
336	1228	594
337	1231	590
338	1235	586
339	1238	582
340	1241	579
341	1245	575
342	1248	571
343	1251	567
344	1254	563
345	1258	559
346	1261	556
347	1265	552
348	1268	548
349	1272	545
350	1275	541
351	1278	537
352	1281	533
353	1285	530
354	1288	526
355	1291	522
356	1294	518
357	1298	514
358	1301	511
359	1304	507
360	1308	503
361	1311	500
362	1315	496
363	1318	492
364	1321	488
365	1325	485
366	1328	481
367	1332	477
368	1335	474
369	1338	470
370	1342	466
371	1345	462
372	1348	459
373	1352	455
374	1355	451
375	1359	448
376	1362	444
377	1365	440
378	1369	437
379	1372	433
380	1375	429
381	1379	425
382	1382	422
383	1385	418
384	1389	414
385	1392	411
386	1395	407
387	1399	403
388	1402	400
389	1406	396
390	1409	393
391	1413	389
392	1416	385
393	1420	382
394	1423	378
395	1426	374
396	1429	370
397	1433	367
398	1436	363
399	1439	359
400	1442	356
401	1446	352
402	1449	348
403	1452	345
404	1455	341
405	1458	337
406	1462	334
407	1465	330
408	1468	326
409	1471	323
410	1475	319
411	1478	315
412	1481	312
413	1485	308
414	1488	304
415	1491	301
416	1495	297
417	1498	293
418	1501	290
419	1505	286
420	1509	283
421	1512	279
422	1516	275
423	1519	272
424	1522	268
425	1526	265
426	1529	261
427	1532	257
428	1536	254
429	1539	250
430	1543	247
431	1546	243
432	1550	239
433	1553	236
434	1556	232
435	1559	228
436	1563	225
437	1566	221
438	1570	218
439	1576	214
440	1579	211
441	1583	207
442	1586	204
443	1589	200
444	1593	196
445	1596	193
446	1600	189
447	1603	186
448	1606	182
449	1610	178
450	1614	175
451	1617	171
452	1620	168
453	1624	164
454	1627	160
455	1631	157
456	1634	153
457	1637	150
458	1641	146
459	1644	142
460	1647	139
461	1651	135
462	1654	132
463	1657	128
464	1660	125
465	1664	121
466	1667	117
467	1670	114
468	1673	110
469	1676	107
470	1680	103
471	1683	99
472	1687	96
473	1690	92
474	1693	89
475	1697	85
476	1700	82
477	1704	78
478	1707	74
479	1710	71
480	1714	67
481	1718	64
482	1722	60
483	1725	57
484	1728	53
485	1732	49
486	1735	46
487	1738	42
488	1742	39
489	1744	35
490	1747	32
491	1751	28
492	1754	24
493	1757	21
494	1761	17
495	1764	14
496	1768	10
497	1771	7
498	1775	3
499	1778	0
